Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
GSW,GSW vs. CLE,06/19/2016,L,48,89,32,83,38.6,15,41,36.6,10,13,76.9,7,32,39,22,10,7,5,23,-4,
CLE,CLE @ GSW,06/19/2016,W,48,93,33,82,40.2,6,25,24.0,21,25,84.0,9,39,48,17,11,7,6,15,4,
GSW,GSW @ CLE,06/16/2016,L,48,101,33,82,40.2,15,39,38.5,20,29,69.0,9,26,35,19,14,5,3,25,-14,
CLE,CLE vs. GSW,06/16/2016,W,48,115,40,77,51.9,10,27,37.0,25,32,78.1,8,37,45,24,12,12,7,25,14,
GSW,GSW vs. CLE,06/13/2016,L,48,97,32,88,36.4,14,43,32.6,19,26,73.1,13,30,43,18,17,6,9,21,-15,
CLE,CLE @ GSW,06/13/2016,W,48,112,44,83,53.0,10,24,41.7,14,23,60.9,8,33,41,15,16,11,9,22,15,
GSW,GSW @ CLE,06/10/2016,W,48,108,33,81,40.7,17,36,47.2,25,31,80.6,14,29,43,23,9,7,6,22,11,
CLE,CLE vs. GSW,06/10/2016,L,48,97,38,81,46.9,6,25,24.0,15,26,57.7,16,24,40,15,11,5,6,24,-11,
GSW,GSW @ CLE,06/08/2016,L,48,90,32,76,42.1,9,33,27.3,17,26,65.4,8,24,32,21,18,5,4,23,-30,
CLE,CLE vs. GSW,06/08/2016,W,48,120,48,91,52.7,12,25,48.0,12,17,70.6,17,35,52,23,14,8,3,25,30,
GSW,GSW vs. CLE,06/05/2016,W,48,110,44,81,54.3,15,33,45.5,7,10,70.0,12,34,46,26,21,7,9,20,33,
CLE,CLE @ GSW,06/05/2016,L,48,77,28,79,35.4,5,23,21.7,16,24,66.7,9,25,34,15,18,15,3,19,-33,
GSW,GSW vs. CLE,06/02/2016,W,48,104,43,87,49.4,9,27,33.3,9,10,90.0,9,32,41,29,9,9,4,16,15,
CLE,CLE @ GSW,06/02/2016,L,48,89,32,84,38.1,7,21,33.3,18,20,90.0,15,32,47,17,17,7,4,17,-15,
GSW,GSW vs. OKC,05/30/2016,W,48,96,37,85,43.5,17,37,45.9,5,8,62.5,10,36,46,20,11,4,4,16,8,
OKC,OKC @ GSW,05/30/2016,L,48,88,34,89,38.2,7,27,25.9,13,17,76.5,14,33,47,20,7,3,5,11,-8,
GSW,GSW @ OKC,05/28/2016,W,48,108,36,88,40.9,21,45,46.7,15,24,62.5,13,31,44,23,15,11,4,25,7,
OKC,OKC vs. GSW,05/28/2016,L,48,101,38,90,42.2,3,23,13.0,22,32,68.8,16,33,49,16,15,9,10,22,-7,
CLE,CLE @ TOR,05/27/2016,W,48,113,40,74,54.1,17,31,54.8,16,21,76.2,4,34,38,22,11,6,6,18,26,
TOR,TOR vs. CLE,05/27/2016,L,48,87,33,79,41.8,8,25,32.0,13,17,76.5,7,26,33,10,13,6,2,19,-26,
GSW,GSW vs. OKC,05/26/2016,W,48,120,40,85,47.1,9,24,37.5,31,34,91.2,11,34,45,25,16,13,7,18,9,
OKC,OKC @ GSW,05/26/2016,L,48,111,39,91,42.9,13,30,43.3,20,24,83.3,13,32,45,23,17,8,2,26,-9,
CLE,CLE vs. TOR,05/25/2016,W,48,116,44,77,57.1,10,21,47.6,18,24,75.0,10,38,48,23,17,11,6,26,38,
TOR,TOR @ CLE,05/25/2016,L,48,78,27,69,39.1,3,17,17.6,21,35,60.0,5,22,27,19,19,9,3,25,-38,
OKC,OKC vs. GSW,05/24/2016,W,48,118,39,90,43.3,9,26,34.6,31,40,77.5,16,40,56,23,18,16,8,22,24,
GSW,GSW @ OKC,05/24/2016,L,48,94,33,80,41.3,9,30,30.0,19,29,65.5,8,32,40,15,21,11,4,26,-24,
TOR,TOR vs. CLE,05/23/2016,W,48,105,42,78,53.8,7,22,31.8,14,19,73.7,9,26,35,17,9,8,3,16,6,
CLE,CLE @ TOR,05/23/2016,L,48,99,39,83,47.0,13,41,31.7,8,9,88.9,10,28,38,23,11,5,2,17,-6,
OKC,OKC vs. GSW,05/22/2016,W,48,133,46,92,50.0,8,25,32.0,33,37,89.2,11,41,52,21,12,6,8,23,28,
GSW,GSW @ OKC,05/22/2016,L,48,105,38,92,41.3,10,32,31.3,19,25,76.0,10,28,38,19,14,9,1,21,-28,
