,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,WAS,WAS vs. LAC,11/20/2018,W,240,125,40,93,43.0,13,39,33.3,32,39,82.1,11,33,44,27,11,8,7,20,7.0
1,LAC,LAC @ WAS,11/20/2018,L,240,118,46,89,51.7,11,27,40.7,15,18,83.3,7,37,44,20,6,4,19,28,-7.0
2,TOR,TOR @ ORL,11/20/2018,W,240,93,39,87,44.8,9,34,26.5,6,8,75.0,6,37,43,23,7,5,16,19,2.0
3,ORL,ORL vs. TOR,11/20/2018,L,240,91,34,84,40.5,8,30,26.7,15,19,78.9,11,38,49,24,5,4,14,11,-2.0
4,BKN,BKN @ MIA,11/20/2018,W,240,104,38,88,43.2,8,31,25.8,20,26,76.9,13,40,53,17,6,4,12,21,12.0
5,MIA,MIA vs. BKN,11/20/2018,L,240,92,36,100,36.0,7,32,21.9,13,20,65.0,18,34,52,18,5,6,14,24,-12.0
6,POR,POR @ NYK,11/20/2018,W,240,118,45,95,47.4,16,35,45.7,12,17,70.6,14,29,43,25,8,4,12,19,4.0
7,NYK,NYK vs. POR,11/20/2018,L,240,114,42,83,50.6,13,29,44.8,17,22,77.3,10,32,42,22,8,5,15,15,-4.0
8,CHA,CHA vs. BOS,11/19/2018,W,240,117,43,89,48.3,15,41,36.6,16,22,72.7,8,36,44,18,5,3,14,16,5.0
9,BOS,BOS @ CHA,11/19/2018,L,240,112,45,89,50.6,9,32,28.1,13,18,72.2,8,33,41,31,9,6,12,22,-5.0
10,UTA,UTA @ IND,11/19/2018,L,240,94,36,74,48.6,11,25,44.0,11,16,68.8,3,33,36,26,6,10,19,18,-27.0
11,IND,IND vs. UTA,11/19/2018,W,240,121,49,93,52.7,12,25,48.0,11,17,64.7,11,33,44,35,13,3,9,17,27.0
12,MIL,MIL vs. DEN,11/19/2018,W,240,104,40,88,45.5,11,36,30.6,13,22,59.1,13,38,51,21,8,3,18,16,6.0
13,DEN,DEN @ MIL,11/19/2018,L,240,98,40,94,42.6,12,41,29.3,6,9,66.7,13,30,43,30,6,4,18,20,-6.0
14,OKC,OKC @ SAC,11/19/2018,L,240,113,45,108,41.7,12,41,29.3,11,16,68.8,13,40,53,22,8,3,13,22,-4.0
15,SAC,SAC vs. OKC,11/19/2018,W,240,117,45,102,44.1,16,38,42.1,11,17,64.7,14,45,59,29,7,4,15,18,4.0
16,SAS,SAS @ NOP,11/19/2018,L,240,126,45,94,47.9,12,24,50.0,24,30,80.0,18,26,44,22,7,0,15,20,-14.0
17,NOP,NOP vs. SAS,11/19/2018,W,240,140,59,102,57.8,10,26,38.5,12,14,85.7,14,28,42,34,10,5,11,23,14.0
18,MEM,MEM vs. DAL,11/19/2018,W,240,98,37,79,46.8,12,30,40.0,12,14,85.7,5,40,45,29,8,11,16,21,10.0
19,DAL,DAL @ MEM,11/19/2018,L,240,88,30,88,34.1,10,32,31.3,18,21,85.7,7,36,43,17,8,4,11,19,-10.0
20,LAC,LAC @ ATL,11/19/2018,W,240,127,40,93,43.0,10,33,30.3,37,47,78.7,15,37,52,24,9,8,15,22,8.0
21,ATL,ATL vs. LAC,11/19/2018,L,240,119,45,101,44.6,12,38,31.6,17,19,89.5,16,35,51,29,6,6,16,38,-8.0
22,PHX,PHX @ PHI,11/19/2018,L,240,114,44,87,50.6,13,33,39.4,13,24,54.2,5,26,31,25,9,4,13,34,-5.0
23,PHI,PHI vs. PHX,11/19/2018,W,240,119,41,84,48.8,6,22,27.3,31,42,73.8,13,40,53,24,8,1,19,27,5.0
24,DET,DET vs. CLE,11/19/2018,W,240,113,41,89,46.1,13,38,34.2,18,19,94.7,13,37,50,26,5,4,12,27,11.0
25,CLE,CLE @ DET,11/19/2018,L,240,102,35,79,44.3,8,21,38.1,24,34,70.6,11,25,36,16,8,3,10,22,-11.0
26,ORL,ORL vs. NYK,11/18/2018,W,240,131,48,84,57.1,13,32,40.6,22,26,84.6,7,28,35,35,5,6,17,26,14.0
27,NYK,NYK @ ORL,11/18/2018,L,240,117,40,87,46.0,8,24,33.3,29,35,82.9,17,25,42,12,7,2,14,26,-14.0
28,MIA,MIA vs. LAL,11/18/2018,L,240,97,35,87,40.2,13,32,40.6,14,19,73.7,12,36,48,20,3,5,14,21,-16.0
29,LAL,LAL @ MIA,11/18/2018,W,240,113,42,95,44.2,11,27,40.7,18,21,85.7,14,36,50,16,7,5,10,19,16.0
30,WAS,WAS vs. POR,11/18/2018,L,240,109,43,96,44.8,13,32,40.6,10,21,47.6,9,34,43,28,4,9,12,30,-10.0
31,POR,POR @ WAS,11/18/2018,W,240,119,39,86,45.3,11,30,36.7,30,35,85.7,9,43,52,26,4,3,15,25,10.0
32,MEM,MEM @ MIN,11/18/2018,W,240,100,35,82,42.7,12,28,42.9,18,25,72.0,10,33,43,26,11,9,12,20,13.0
33,MIN,MIN vs. MEM,11/18/2018,L,240,87,31,80,38.8,12,29,41.4,13,16,81.3,10,39,49,20,8,3,20,20,-13.0
34,SAS,SAS vs. GSW,11/18/2018,W,240,104,41,92,44.6,10,24,41.7,12,17,70.6,11,37,48,24,3,5,11,18,12.0
35,GSW,GSW @ SAS,11/18/2018,L,240,92,35,86,40.7,5,26,19.2,17,21,81.0,10,36,46,20,6,4,12,17,-12.0
36,OKC,OKC @ PHX,11/17/2018,W,240,110,38,85,44.7,7,24,29.2,27,32,84.4,14,38,52,17,9,7,18,20,10.0
37,PHX,PHX vs. OKC,11/17/2018,L,240,100,37,82,45.1,12,29,41.4,14,21,66.7,4,27,31,25,14,6,15,28,-10.0
38,GSW,GSW @ DAL,11/17/2018,L,240,109,42,94,44.7,9,33,27.3,16,17,94.1,12,35,47,24,6,6,12,27,-3.0
39,DAL,DAL vs. GSW,11/17/2018,W,240,112,40,86,46.5,10,34,29.4,22,34,64.7,8,38,46,18,6,5,10,18,3.0
40,TOR,TOR @ CHI,11/17/2018,W,240,122,48,89,53.9,14,35,40.0,12,13,92.3,8,46,54,31,14,10,23,24,39.0
41,CHI,CHI vs. TOR,11/17/2018,L,240,83,30,86,34.9,8,27,29.6,15,21,71.4,7,27,34,21,13,3,22,19,-39.0
42,SAC,SAC @ HOU,11/17/2018,L,240,112,46,102,45.1,11,35,31.4,9,12,75.0,13,26,39,23,10,3,14,21,-20.0
43,HOU,HOU vs. SAC,11/17/2018,W,240,132,46,81,56.8,20,47,42.6,20,24,83.3,6,35,41,27,9,10,22,20,20.0
44,CHA,CHA vs. PHI,11/17/2018,L,265,119,42,99,42.4,10,31,32.3,25,27,92.6,9,40,49,23,10,3,18,29,-3.0
45,PHI,PHI @ CHA,11/17/2018,W,265,122,39,93,41.9,11,35,31.4,33,38,86.8,9,44,53,23,9,6,19,24,3.0
46,UTA,UTA @ BOS,11/17/2018,W,240,98,35,78,44.9,11,38,28.9,17,27,63.0,7,39,46,23,11,4,15,23,12.0
47,BOS,BOS vs. UTA,11/17/2018,L,240,86,35,91,38.5,5,33,15.2,11,20,55.0,17,34,51,16,11,4,14,22,-12.0
48,ORL,ORL vs. LAL,11/17/2018,W,240,130,50,93,53.8,11,32,34.4,19,23,82.6,11,30,41,28,5,8,13,23,13.0
49,LAL,LAL @ ORL,11/17/2018,L,240,117,43,90,47.8,10,30,33.3,21,25,84.0,8,33,41,22,5,6,14,20,-13.0
50,IND,IND vs. ATL,11/17/2018,W,240,97,35,87,40.2,12,30,40.0,15,21,71.4,10,43,53,25,11,6,24,26,8.0
51,ATL,ATL @ IND,11/17/2018,L,240,89,31,87,35.6,8,29,27.6,19,27,70.4,5,36,41,20,15,6,18,24,-8.0
52,DEN,DEN @ NOP,11/17/2018,L,240,115,46,95,48.4,15,39,38.5,8,13,61.5,10,33,43,30,5,6,13,23,-10.0
53,NOP,NOP vs. DEN,11/17/2018,W,240,125,42,87,48.3,10,25,40.0,31,34,91.2,10,36,46,29,6,8,11,18,10.0
54,BKN,BKN vs. LAC,11/17/2018,L,240,119,40,88,45.5,13,28,46.4,26,34,76.5,15,32,47,25,4,5,11,22,-8.0
55,LAC,LAC @ BKN,11/17/2018,W,240,127,48,95,50.5,11,23,47.8,20,24,83.3,9,29,38,23,4,1,8,25,8.0
56,MIL,MIL vs. CHI,11/16/2018,W,240,123,47,93,50.5,18,43,41.9,11,17,64.7,11,44,55,28,8,8,17,14,19.0
57,CHI,CHI @ MIL,11/16/2018,L,240,104,41,94,43.6,13,33,39.4,9,13,69.2,4,32,36,22,8,3,12,15,-19.0
58,MEM,MEM vs. SAC,11/16/2018,W,240,112,43,85,50.6,11,25,44.0,15,24,62.5,9,31,40,24,11,5,16,23,8.0
59,SAC,SAC @ MEM,11/16/2018,L,240,104,37,80,46.3,12,33,36.4,18,24,75.0,9,33,42,23,9,2,21,24,-8.0
60,NYK,NYK @ NOP,11/16/2018,L,240,124,48,98,49.0,11,34,32.4,17,24,70.8,12,32,44,15,10,6,13,31,-5.0
61,NOP,NOP vs. NYK,11/16/2018,W,240,129,48,99,48.5,10,34,29.4,23,32,71.9,11,43,54,27,5,5,15,25,5.0
