home,away,date,svm
BKN,MIA,12/01/2019,[0]
DET,SAS,12/01/2019,[0]
LAC,WAS,12/01/2019,[0]
LAL,DAL,12/01/2019,[0]
MIN,MEM,12/01/2019,[0]
NOP,OKC,12/01/2019,[0]
NYK,BOS,12/01/2019,[1]
ORL,GSW,12/01/2019,[0]
TOR,UTA,12/01/2019,[0]
ATL,GSW,12/02/2019,[0]
CHA,PHX,12/02/2019,[1]
MEM,IND,12/02/2019,[1]
MIL,NYK,12/02/2019,[0]
PHI,UTA,12/02/2019,[0]
SAC,CHI,12/02/2019,[0]
CLE,DET,12/03/2019,[1]
DEN,LAL,12/03/2019,[0]
LAC,POR,12/03/2019,[0]
NOP,DAL,12/03/2019,[1]
SAS,HOU,12/03/2019,[1]
TOR,MIA,12/03/2019,[0]
WAS,ORL,12/03/2019,[0]
ATL,BKN,12/04/2019,[1]
BOS,MIA,12/04/2019,[0]
CHA,GSW,12/04/2019,[0]
CHI,MEM,12/04/2019,[0]
DAL,MIN,12/04/2019,[0]
DET,MIL,12/04/2019,[1]
OKC,IND,12/04/2019,[0]
ORL,PHX,12/04/2019,[0]
POR,SAC,12/04/2019,[0]
UTA,LAL,12/04/2019,[0]
NOP,PHX,12/05/2019,[0]
NYK,DEN,12/05/2019,[1]
TOR,HOU,12/05/2019,[0]
WAS,PHI,12/05/2019,[1]
BOS,DEN,12/06/2019,[0]
CHA,BKN,12/06/2019,[0]
CHI,GSW,12/06/2019,[0]
CLE,ORL,12/06/2019,[1]
DET,IND,12/06/2019,[0]
MIA,WAS,12/06/2019,[0]
MIL,LAC,12/06/2019,[0]
OKC,MIN,12/06/2019,[0]
POR,LAL,12/06/2019,[1]
SAS,SAC,12/06/2019,[1]
DAL,NOP,12/07/2019,[0]
HOU,PHX,12/07/2019,[0]
NYK,IND,12/07/2019,[1]
PHI,CLE,12/07/2019,[0]
UTA,MEM,12/07/2019,[0]
BKN,DEN,12/08/2019,[0]
CHA,ATL,12/08/2019,[0]
DAL,SAC,12/08/2019,[0]
LAL,MIN,12/08/2019,[0]
MIA,CHI,12/08/2019,[0]
PHI,TOR,12/08/2019,[0]
POR,OKC,12/08/2019,[0]
WAS,LAC,12/08/2019,[1]
BOS,CLE,12/09/2019,[0]
CHI,TOR,12/09/2019,[1]
GSW,MEM,12/09/2019,[0]
HOU,SAC,12/09/2019,[0]
IND,LAC,12/09/2019,[0]
MIL,ORL,12/09/2019,[0]
NOP,DET,12/09/2019,[1]
PHX,MIN,12/09/2019,[0]
UTA,OKC,12/09/2019,[0]
CHA,WAS,12/10/2019,[0]
MIA,ATL,12/10/2019,[0]
PHI,DEN,12/10/2019,[0]
POR,NYK,12/10/2019,[0]
BKN,CHA,12/11/2019,[0]
CHI,ATL,12/11/2019,[0]
CLE,HOU,12/11/2019,[1]
GSW,NYK,12/11/2019,[0]
IND,BOS,12/11/2019,[1]
MIL,NOP,12/11/2019,[0]
MIN,UTA,12/11/2019,[0]
ORL,LAL,12/11/2019,[1]
PHX,MEM,12/11/2019,[0]
SAC,OKC,12/11/2019,[0]
TOR,LAC,12/11/2019,[0]
BOS,PHI,12/12/2019,[0]
DEN,POR,12/12/2019,[0]
DET,DAL,12/12/2019,[1]
SAS,CLE,12/12/2019,[0]
ATL,IND,12/13/2019,[1]
CHI,CHA,12/13/2019,[0]
MEM,MIL,12/13/2019,[1]
MIA,LAL,12/13/2019,[0]
MIN,LAC,12/13/2019,[1]
ORL,HOU,12/13/2019,[1]
PHI,NOP,12/13/2019,[0]
SAC,NYK,12/13/2019,[0]
UTA,GSW,12/13/2019,[0]
CHI,LAC,12/14/2019,[1]
DAL,MIA,12/14/2019,[0]
DEN,OKC,12/14/2019,[0]
HOU,DET,12/14/2019,[0]
MEM,WAS,12/14/2019,[0]
MIL,CLE,12/14/2019,[0]
PHX,SAS,12/14/2019,[0]
TOR,BKN,12/14/2019,[0]
ATL,LAL,12/15/2019,[1]
BKN,PHI,12/15/2019,[0]
DEN,NYK,12/15/2019,[0]
GSW,SAC,12/15/2019,[1]
IND,CHA,12/15/2019,[0]
NOP,ORL,12/15/2019,[0]
DET,WAS,12/16/2019,[0]
HOU,SAS,12/16/2019,[0]
MEM,MIA,12/16/2019,[1]
MIL,DAL,12/16/2019,[0]
OKC,CHI,12/16/2019,[0]
PHX,POR,12/16/2019,[0]
TOR,CLE,12/16/2019,[0]
CHA,SAC,12/17/2019,[1]
IND,LAL,12/17/2019,[0]
LAC,PHX,12/17/2019,[0]
NOP,BKN,12/17/2019,[1]
NYK,ATL,12/17/2019,[0]
UTA,ORL,12/17/2019,[0]
CLE,CHA,12/18/2019,[1]
DAL,BOS,12/18/2019,[0]
DEN,ORL,12/18/2019,[0]
DET,TOR,12/18/2019,[0]
MIN,NOP,12/18/2019,[0]
OKC,MEM,12/18/2019,[0]
PHI,MIA,12/18/2019,[0]
POR,GSW,12/18/2019,[0]
WAS,CHI,12/18/2019,[0]
ATL,UTA,12/19/2019,[1]
LAC,HOU,12/19/2019,[0]
MIL,LAL,12/19/2019,[0]
SAS,BKN,12/19/2019,[1]
BOS,DET,12/20/2019,[0]
CLE,MEM,12/20/2019,[1]
DEN,MIN,12/20/2019,[0]
GSW,NOP,12/20/2019,[1]
IND,SAC,12/20/2019,[0]
MIA,NYK,12/20/2019,[0]
OKC,PHX,12/20/2019,[0]
PHI,DAL,12/20/2019,[1]
POR,ORL,12/20/2019,[0]
TOR,WAS,12/20/2019,[0]
BKN,ATL,12/21/2019,[0]
CHA,UTA,12/21/2019,[0]
DET,CHI,12/21/2019,[0]
MEM,SAC,12/21/2019,[0]
NYK,MIL,12/21/2019,[1]
PHI,WAS,12/21/2019,[0]
PHX,HOU,12/21/2019,[1]
POR,MIN,12/21/2019,[0]
SAS,LAC,12/21/2019,[1]
BOS,CHA,12/22/2019,[0]
LAL,DEN,12/22/2019,[0]
MIL,IND,12/22/2019,[0]
OKC,LAC,12/22/2019,[0]
TOR,DAL,12/22/2019,[1]
CLE,ATL,12/23/2019,[0]
DET,PHI,12/23/2019,[0]
GSW,MIN,12/23/2019,[1]
IND,TOR,12/23/2019,[0]
MEM,SAS,12/23/2019,[0]
MIA,UTA,12/23/2019,[0]
NYK,WAS,12/23/2019,[0]
ORL,CHI,12/23/2019,[0]
PHX,DEN,12/23/2019,[1]
POR,NOP,12/23/2019,[0]
SAC,HOU,12/23/2019,[1]
DEN,NOP,12/25/2019,[0]
