home,away,date,trees
BKN,MIA,12/01/2019,[0.489]
DET,SAS,12/01/2019,[0.377]
LAC,WAS,12/01/2019,[0.264]
LAL,DAL,12/01/2019,[0.36]
MIN,MEM,12/01/2019,[0.454]
NOP,OKC,12/01/2019,[0.409]
NYK,BOS,12/01/2019,[0.778]
ORL,GSW,12/01/2019,[0.382]
TOR,UTA,12/01/2019,[0.27]
ATL,GSW,12/02/2019,[0.41]
CHA,PHX,12/02/2019,[0.601]
MEM,IND,12/02/2019,[0.714]
MIL,NYK,12/02/2019,[0.173]
PHI,UTA,12/02/2019,[0.311]
SAC,CHI,12/02/2019,[0.441]
CLE,DET,12/03/2019,[0.584]
DEN,LAL,12/03/2019,[0.415]
LAC,POR,12/03/2019,[0.338]
NOP,DAL,12/03/2019,[0.599]
SAS,HOU,12/03/2019,[0.635]
TOR,MIA,12/03/2019,[0.313]
WAS,ORL,12/03/2019,[0.513]
ATL,BKN,12/04/2019,[0.691]
BOS,MIA,12/04/2019,[0.337]
CHA,GSW,12/04/2019,[0.349]
CHI,MEM,12/04/2019,[0.392]
DAL,MIN,12/04/2019,[0.398]
DET,MIL,12/04/2019,[0.56]
OKC,IND,12/04/2019,[0.606]
ORL,PHX,12/04/2019,[0.378]
POR,SAC,12/04/2019,[0.512]
UTA,LAL,12/04/2019,[0.709]
NOP,PHX,12/05/2019,[0.489]
NYK,DEN,12/05/2019,[0.748]
TOR,HOU,12/05/2019,[0.449]
WAS,PHI,12/05/2019,[0.613]
BOS,DEN,12/06/2019,[0.293]
CHA,BKN,12/06/2019,[0.567]
CHI,GSW,12/06/2019,[0.374]
CLE,ORL,12/06/2019,[0.695]
DET,IND,12/06/2019,[0.503]
MIA,WAS,12/06/2019,[0.251]
MIL,LAC,12/06/2019,[0.334]
OKC,MIN,12/06/2019,[0.409]
POR,LAL,12/06/2019,[0.611]
SAS,SAC,12/06/2019,[0.501]
DAL,NOP,12/07/2019,[0.254]
HOU,PHX,12/07/2019,[0.345]
NYK,IND,12/07/2019,[0.696]
PHI,CLE,12/07/2019,[0.059]
UTA,MEM,12/07/2019,[0.382]
BKN,DEN,12/08/2019,[0.458]
CHA,ATL,12/08/2019,[0.336]
DAL,SAC,12/08/2019,[0.166]
LAL,MIN,12/08/2019,[0.361]
MIA,CHI,12/08/2019,[0.187]
PHI,TOR,12/08/2019,[0.422]
POR,OKC,12/08/2019,[0.502]
WAS,LAC,12/08/2019,[0.56]
BOS,CLE,12/09/2019,[0.082]
CHI,TOR,12/09/2019,[0.629]
GSW,MEM,12/09/2019,[0.357]
HOU,SAC,12/09/2019,[0.292]
IND,LAC,12/09/2019,[0.408]
MIL,ORL,12/09/2019,[0.244]
NOP,DET,12/09/2019,[0.569]
PHX,MIN,12/09/2019,[0.565]
UTA,OKC,12/09/2019,[0.452]
CHA,WAS,12/10/2019,[0.475]
MIA,ATL,12/10/2019,[0.141]
PHI,DEN,12/10/2019,[0.333]
POR,NYK,12/10/2019,[0.536]
BKN,CHA,12/11/2019,[0.287]
CHI,ATL,12/11/2019,[0.418]
CLE,HOU,12/11/2019,[0.723]
GSW,NYK,12/11/2019,[0.326]
IND,BOS,12/11/2019,[0.366]
MIL,NOP,12/11/2019,[0.162]
MIN,UTA,12/11/2019,[0.504]
ORL,LAL,12/11/2019,[0.655]
PHX,MEM,12/11/2019,[0.418]
SAC,OKC,12/11/2019,[0.458]
TOR,LAC,12/11/2019,[0.346]
BOS,PHI,12/12/2019,[0.249]
DEN,POR,12/12/2019,[0.332]
DET,DAL,12/12/2019,[0.561]
SAS,CLE,12/12/2019,[0.522]
ATL,IND,12/13/2019,[0.752]
CHI,CHA,12/13/2019,[0.46]
MEM,MIL,12/13/2019,[0.688]
MIA,LAL,12/13/2019,[0.444]
MIN,LAC,12/13/2019,[0.605]
ORL,HOU,12/13/2019,[0.473]
PHI,NOP,12/13/2019,[0.089]
SAC,NYK,12/13/2019,[0.155]
UTA,GSW,12/13/2019,[0.303]
CHI,LAC,12/14/2019,[0.555]
DAL,MIA,12/14/2019,[0.328]
DEN,OKC,12/14/2019,[0.367]
HOU,DET,12/14/2019,[0.257]
MEM,WAS,12/14/2019,[0.508]
MIL,CLE,12/14/2019,[0.22]
PHX,SAS,12/14/2019,[0.562]
TOR,BKN,12/14/2019,[0.275]
ATL,LAL,12/15/2019,[0.73]
BKN,PHI,12/15/2019,[0.456]
DEN,NYK,12/15/2019,[0.189]
GSW,SAC,12/15/2019,[0.717]
IND,CHA,12/15/2019,[0.227]
NOP,ORL,12/15/2019,[0.623]
DET,WAS,12/16/2019,[0.343]
HOU,SAS,12/16/2019,[0.311]
MEM,MIA,12/16/2019,[0.49]
MIL,DAL,12/16/2019,[0.271]
OKC,CHI,12/16/2019,[0.363]
PHX,POR,12/16/2019,[0.523]
TOR,CLE,12/16/2019,[0.063]
CHA,SAC,12/17/2019,[0.621]
IND,LAL,12/17/2019,[0.42]
LAC,PHX,12/17/2019,[0.337]
NOP,BKN,12/17/2019,[0.812]
NYK,ATL,12/17/2019,[0.465]
UTA,ORL,12/17/2019,[0.455]
CLE,CHA,12/18/2019,[0.62]
DAL,BOS,12/18/2019,[0.351]
DEN,ORL,12/18/2019,[0.313]
DET,TOR,12/18/2019,[0.477]
MIN,NOP,12/18/2019,[0.469]
OKC,MEM,12/18/2019,[0.4]
PHI,MIA,12/18/2019,[0.312]
POR,GSW,12/18/2019,[0.382]
WAS,CHI,12/18/2019,[0.447]
ATL,UTA,12/19/2019,[0.752]
LAC,HOU,12/19/2019,[0.456]
MIL,LAL,12/19/2019,[0.287]
SAS,BKN,12/19/2019,[0.638]
BOS,DET,12/20/2019,[0.169]
CLE,MEM,12/20/2019,[0.649]
DEN,MIN,12/20/2019,[0.26]
GSW,NOP,12/20/2019,[0.422]
IND,SAC,12/20/2019,[0.297]
MIA,NYK,12/20/2019,[0.219]
OKC,PHX,12/20/2019,[0.436]
PHI,DAL,12/20/2019,[0.489]
POR,ORL,12/20/2019,[0.412]
TOR,WAS,12/20/2019,[0.229]
BKN,ATL,12/21/2019,[0.305]
CHA,UTA,12/21/2019,[0.509]
DET,CHI,12/21/2019,[0.452]
MEM,SAC,12/21/2019,[0.546]
NYK,MIL,12/21/2019,[0.678]
PHI,WAS,12/21/2019,[0.211]
PHX,HOU,12/21/2019,[0.6]
POR,MIN,12/21/2019,[0.437]
SAS,LAC,12/21/2019,[0.667]
BKN,ATL,12/21/2019,[0.305]
CHA,UTA,12/21/2019,[0.509]
DET,CHI,12/21/2019,[0.452]
MEM,SAC,12/21/2019,[0.546]
NYK,MIL,12/21/2019,[0.678]
PHI,WAS,12/21/2019,[0.211]
PHX,HOU,12/21/2019,[0.6]
POR,MIN,12/21/2019,[0.437]
SAS,LAC,12/21/2019,[0.667]
BOS,CHA,12/22/2019,[0.094]
LAL,DEN,12/22/2019,[0.317]
MIL,IND,12/22/2019,[0.273]
OKC,LAC,12/22/2019,[0.573]
TOR,DAL,12/22/2019,[0.432]
CLE,ATL,12/23/2019,[0.36]
DET,PHI,12/23/2019,[0.518]
GSW,MIN,12/23/2019,[0.445]
IND,TOR,12/23/2019,[0.347]
MEM,SAS,12/23/2019,[0.469]
MIA,UTA,12/23/2019,[0.344]
NYK,WAS,12/23/2019,[0.547]
ORL,CHI,12/23/2019,[0.418]
PHX,DEN,12/23/2019,[0.564]
POR,NOP,12/23/2019,[0.353]
SAC,HOU,12/23/2019,[0.517]
DEN,NOP,12/25/2019,[0.147]
GSW,HOU,12/25/2019,[0.716]
LAL,LAC,12/25/2019,[0.529]
PHI,MIL,12/25/2019,[0.497]
TOR,BOS,12/25/2019,[0.338]
BKN,NYK,12/26/2019,[0.241]
DAL,SAS,12/26/2019,[0.299]
DET,WAS,12/26/2019,[0.379]
OKC,MEM,12/26/2019,[0.244]
SAC,MIN,12/26/2019,[0.56]
UTA,POR,12/26/2019,[0.422]
ATL,MIL,12/27/2019,[0.712]
BOS,CLE,12/27/2019,[0.246]
CHA,OKC,12/27/2019,[0.634]
GSW,PHX,12/27/2019,[0.502]
MIA,IND,12/27/2019,[0.323]
ORL,PHI,12/27/2019,[0.61]
BOS,TOR,12/28/2019,[0.386]
CHI,ATL,12/28/2019,[0.32]
DEN,MEM,12/28/2019,[0.219]
GSW,DAL,12/28/2019,[0.588]
HOU,BKN,12/28/2019,[0.332]
LAC,UTA,12/28/2019,[0.267]
MIA,PHI,12/28/2019,[0.376]
MIL,ORL,12/28/2019,[0.156]
MIN,CLE,12/28/2019,[0.495]
NOP,IND,12/28/2019,[0.626]
POR,LAL,12/28/2019,[0.492]
SAC,PHX,12/28/2019,[0.589]
SAS,DET,12/28/2019,[0.431]
WAS,NYK,12/28/2019,[0.434]
DEN,SAC,12/29/2019,[0.214]
LAL,DAL,12/29/2019,[0.598]
MEM,CHA,12/29/2019,[0.498]
NOP,HOU,12/29/2019,[0.602]
TOR,OKC,12/29/2019,[0.337]
CHI,MIL,12/30/2019,[0.673]
MIN,BKN,12/30/2019,[0.808]
ORL,ATL,12/30/2019,[0.334]
POR,PHX,12/30/2019,[0.517]
UTA,DET,12/30/2019,[0.431]
WAS,MIA,12/30/2019,[0.698]
CHA,BOS,12/31/2019,[0.675]
HOU,DEN,12/31/2019,[0.393]
IND,PHI,12/31/2019,[0.226]
OKC,DAL,12/31/2019,[0.458]
SAC,LAC,12/31/2019,[0.636]
SAS,GSW,12/31/2019,[0.344]
TOR,CLE,12/31/2019,[0.218]
LAL,PHX,01/01/2020,[0.154]
MIL,MIN,01/01/2020,[0.184]
NYK,POR,01/01/2020,[0.604]
WAS,ORL,01/01/2020,[0.495]
CHI,UTA,01/02/2020,[0.471]
CLE,CHA,01/02/2020,[0.473]
DAL,BKN,01/02/2020,[0.349]
IND,DEN,01/02/2020,[0.314]
LAC,DET,01/02/2020,[0.231]
MIA,TOR,01/02/2020,[0.332]
MIN,GSW,01/02/2020,[0.485]
SAC,MEM,01/02/2020,[0.519]
SAS,OKC,01/02/2020,[0.479]
BOS,ATL,01/03/2020,[0.107]
HOU,PHI,01/03/2020,[0.289]
LAL,NOP,01/03/2020,[0.194]
ORL,MIA,01/03/2020,[0.485]
PHX,NYK,01/03/2020,[0.539]
WAS,POR,01/03/2020,[0.535]
ATL,IND,01/04/2020,[0.797]
BKN,TOR,01/04/2020,[0.398]
CHI,BOS,01/04/2020,[0.496]
CLE,OKC,01/04/2020,[0.736]
DAL,CHA,01/04/2020,[0.215]
GSW,DET,01/04/2020,[0.429]
LAC,MEM,01/04/2020,[0.184]
MIL,SAS,01/04/2020,[0.216]
ORL,UTA,01/04/2020,[0.49]
SAC,NOP,01/04/2020,[0.466]
WAS,DEN,01/04/2020,[0.699]
CLE,MIN,01/05/2020,[0.562]
LAC,NYK,01/05/2020,[0.252]
LAL,DET,01/05/2020,[0.095]
MIA,POR,01/05/2020,[0.325]
PHX,MEM,01/05/2020,[0.509]
ATL,DEN,01/06/2020,[0.626]
CHA,IND,01/06/2020,[0.558]
DAL,CHI,01/06/2020,[0.427]
NOP,UTA,01/06/2020,[0.588]
ORL,BKN,01/06/2020,[0.363]
PHI,OKC,01/06/2020,[0.463]
SAC,GSW,01/06/2020,[0.362]
SAS,MIL,01/06/2020,[0.68]
WAS,BOS,01/06/2020,[0.662]
BKN,OKC,01/07/2020,[0.497]
CLE,DET,01/07/2020,[0.594]
LAL,NYK,01/07/2020,[0.137]
MEM,MIN,01/07/2020,[0.411]
PHX,SAC,01/07/2020,[0.512]
TOR,POR,01/07/2020,[0.273]
ATL,HOU,01/08/2020,[0.7]
BOS,SAS,01/08/2020,[0.277]
CHA,TOR,01/08/2020,[0.578]
DAL,DEN,01/08/2020,[0.254]
GSW,MIL,01/08/2020,[0.735]
IND,MIA,01/08/2020,[0.382]
NOP,CHI,01/08/2020,[0.441]
ORL,WAS,01/08/2020,[0.343]
UTA,NYK,01/08/2020,[0.253]
DET,CLE,01/09/2020,[0.476]
MIN,POR,01/09/2020,[0.534]
OKC,HOU,01/09/2020,[0.53]
PHI,BOS,01/09/2020,[0.398]
BKN,MIA,01/10/2020,[0.527]
CHI,IND,01/10/2020,[0.556]
DAL,LAL,01/10/2020,[0.406]
LAC,GSW,01/10/2020,[0.128]
MEM,SAS,01/10/2020,[0.365]
NYK,NOP,01/10/2020,[0.642]
PHX,ORL,01/10/2020,[0.58]
SAC,MIL,01/10/2020,[0.678]
UTA,CHA,01/10/2020,[0.16]
WAS,ATL,01/10/2020,[0.471]
BOS,NOP,01/11/2020,[0.185]
DAL,PHI,01/11/2020,[0.383]
DEN,CLE,01/11/2020,[0.238]
DET,CHI,01/11/2020,[0.398]
HOU,MIN,01/11/2020,[0.243]
OKC,LAL,01/11/2020,[0.354]
POR,MIL,01/11/2020,[0.7]
BKN,ATL,01/12/2020,[0.458]
DEN,LAC,01/12/2020,[0.354]
MEM,GSW,01/12/2020,[0.246]
NYK,MIA,01/12/2020,[0.725]
PHX,CHA,01/12/2020,[0.451]
TOR,SAS,01/12/2020,[0.362]
WAS,UTA,01/12/2020,[0.589]
