home,away,date,xgb
CLE,DET,12/03/2019,[0.61809874]
DEN,LAL,12/03/2019,[0.4290852]
LAC,POR,12/03/2019,[0.27496728]
NOP,DAL,12/03/2019,[0.6992196]
SAS,HOU,12/03/2019,[0.64910924]
TOR,MIA,12/03/2019,[0.28267384]
WAS,ORL,12/03/2019,[0.4794315]
BOS,DEN,12/06/2019,[0.3266546]
CHA,BKN,12/06/2019,[0.6214628]
CHI,GSW,12/06/2019,[0.3570513]
CLE,ORL,12/06/2019,[0.6590821]
DET,IND,12/06/2019,[0.5176257]
MIA,WAS,12/06/2019,[0.17541543]
MIL,LAC,12/06/2019,[0.32939553]
OKC,MIN,12/06/2019,[0.4436641]
POR,LAL,12/06/2019,[0.6742183]
SAS,SAC,12/06/2019,[0.4137724]
BOS,CLE,12/09/2019,[0.08390543]
CHI,TOR,12/09/2019,[0.6676868]
GSW,MEM,12/09/2019,[0.45924354]
HOU,SAC,12/09/2019,[0.29012775]
IND,LAC,12/09/2019,[0.30957636]
MIL,ORL,12/09/2019,[0.24691364]
NOP,DET,12/09/2019,[0.6288353]
PHX,MIN,12/09/2019,[0.35971427]
UTA,OKC,12/09/2019,[0.4479239]
CHA,WAS,12/10/2019,[0.49666044]
MIA,ATL,12/10/2019,[0.12936378]
PHI,DEN,12/10/2019,[0.3625583]
POR,NYK,12/10/2019,[0.35934946]
BKN,CHA,12/11/2019,[0.24542299]
CHI,ATL,12/11/2019,[0.29998773]
CLE,HOU,12/11/2019,[0.8099531]
GSW,NYK,12/11/2019,[0.40116364]
IND,BOS,12/11/2019,[0.44970906]
MIL,NOP,12/11/2019,[0.11803651]
MIN,UTA,12/11/2019,[0.50490904]
ORL,LAL,12/11/2019,[0.60879594]
PHX,MEM,12/11/2019,[0.23032868]
SAC,OKC,12/11/2019,[0.3850904]
TOR,LAC,12/11/2019,[0.35328126]
BOS,PHI,12/12/2019,[0.3179827]
DEN,POR,12/12/2019,[0.22214222]
DET,DAL,12/12/2019,[0.5636555]
SAS,CLE,12/12/2019,[0.3433056]
ATL,IND,12/13/2019,[0.76631963]
CHI,CHA,12/13/2019,[0.33108976]
MEM,MIL,12/13/2019,[0.7042709]
MIA,LAL,12/13/2019,[0.46103376]
MIN,LAC,12/13/2019,[0.6988434]
ORL,HOU,12/13/2019,[0.59095126]
PHI,NOP,12/13/2019,[0.15513638]
SAC,NYK,12/13/2019,[0.18531778]
UTA,GSW,12/13/2019,[0.30228275]
CHI,LAC,12/14/2019,[0.5925833]
DAL,MIA,12/14/2019,[0.2622623]
DEN,OKC,12/14/2019,[0.28681412]
HOU,DET,12/14/2019,[0.30614766]
MEM,WAS,12/14/2019,[0.4337606]
MIL,CLE,12/14/2019,[0.07830244]
PHX,SAS,12/14/2019,[0.31414557]
TOR,BKN,12/14/2019,[0.32857162]
