Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
IND,IND @ ATL,04/10/2019,W,48,135,45,98,45.9,12,30,40.0,33,39,84.6,13,30,43,22,8,12,7,28,1,
CHI,CHI @ PHI,04/10/2019,L,48,109,45,95,47.4,9,24,37.5,10,15,66.7,9,30,39,21,8,4,3,13,-16,
CHA,CHA vs. ORL,04/10/2019,L,48,114,41,78,52.6,8,29,27.6,24,27,88.9,4,28,32,21,8,3,4,14,-8,
DEN,DEN vs. MIN,04/10/2019,W,48,99,39,87,44.8,10,33,30.3,11,17,64.7,12,41,53,23,13,6,4,12,4,
BKN,BKN vs. MIA,04/10/2019,W,48,113,43,114,37.7,21,58,36.2,6,7,85.7,20,48,68,29,12,7,3,13,19,
SAS,SAS vs. DAL,04/10/2019,W,48,105,41,88,46.6,8,24,33.3,15,18,83.3,8,45,53,22,11,6,2,14,11,
ATL,ATL vs. IND,04/10/2019,L,48,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,17,5,7,25,-1,
OKC,OKC @ MIL,04/10/2019,W,48,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,13,7,3,20,11,
POR,POR vs. SAC,04/10/2019,W,48,136,53,91,58.2,14,24,58.3,16,22,72.7,14,30,44,19,13,5,2,17,5,
MIN,MIN @ DEN,04/10/2019,L,48,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,10,6,0,22,-4,
GSW,GSW @ MEM,04/10/2019,L,48,117,46,92,50.0,13,30,43.3,12,14,85.7,9,30,39,32,14,3,5,17,-15,
ORL,ORL @ CHA,04/10/2019,W,48,122,48,88,54.5,11,30,36.7,15,20,75.0,9,30,39,24,6,5,2,19,8,
DET,DET @ NYK,04/10/2019,W,48,115,41,85,48.2,14,33,42.4,19,20,95.0,11,45,56,25,14,5,2,23,26,
LAC,LAC vs. UTA,04/10/2019,W,53,143,54,106,50.9,12,28,42.9,23,30,76.7,12,40,52,34,12,7,5,27,6,
NYK,NYK vs. DET,04/10/2019,L,48,89,31,77,40.3,9,30,30.0,18,25,72.0,4,29,33,23,11,7,5,17,-26,
UTA,UTA @ LAC,04/10/2019,L,53,137,47,106,44.3,14,35,40.0,29,33,87.9,17,40,57,31,17,8,11,24,-6,
PHI,PHI vs. CHI,04/10/2019,W,48,125,52,93,55.9,12,26,46.2,9,15,60.0,9,38,47,30,7,4,10,11,16,
MIL,MIL vs. OKC,04/10/2019,L,48,116,43,100,43.0,15,46,32.6,15,21,71.4,11,42,53,27,15,7,1,14,-11,
MEM,MEM vs. GSW,04/10/2019,W,48,132,48,98,49.0,21,46,45.7,15,18,83.3,15,34,49,25,11,9,0,18,15,
DAL,DAL @ SAS,04/10/2019,L,48,94,37,91,40.7,11,37,29.7,9,12,75.0,7,35,42,27,7,5,4,19,-11,
MIA,MIA @ BKN,04/10/2019,L,48,94,38,98,38.8,8,41,19.5,10,15,66.7,8,46,54,22,15,9,4,12,-19,
SAC,SAC @ POR,04/10/2019,L,48,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,10,5,1,17,-5,
MIN,MIN vs. TOR,04/09/2019,L,48,100,38,91,41.8,13,42,31.0,11,14,78.6,5,30,35,26,12,10,9,16,-20,
PHI,PHI @ MIA,04/09/2019,L,48,99,40,98,40.8,5,25,20.0,14,16,87.5,11,35,46,22,15,11,0,19,-23,
CHA,CHA @ CLE,04/09/2019,W,48,124,45,78,57.7,22,44,50.0,12,17,70.6,5,32,37,35,10,8,7,13,27,
NYK,NYK @ CHI,04/09/2019,W,48,96,37,93,39.8,14,40,35.0,8,13,61.5,11,50,61,17,9,0,10,16,10,
DEN,DEN @ UTA,04/09/2019,L,48,108,41,88,46.6,12,25,48.0,14,22,63.6,3,28,31,24,7,9,3,28,-10,
MEM,MEM @ DET,04/09/2019,L,48,93,33,69,47.8,10,24,41.7,17,21,81.0,7,36,43,19,22,4,6,24,-7,
CLE,CLE vs. CHA,04/09/2019,L,48,97,40,89,44.9,11,30,36.7,6,8,75.0,14,27,41,24,14,3,2,18,-27,
LAL,LAL vs. POR,04/09/2019,L,48,101,40,94,42.6,10,29,34.5,11,17,64.7,17,34,51,29,17,6,6,19,-3,
BOS,BOS @ WAS,04/09/2019,W,48,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,6,10,3,17,6,
WAS,WAS vs. BOS,04/09/2019,L,48,110,41,97,42.3,14,39,35.9,14,18,77.8,13,45,58,28,15,2,3,18,-6,
POR,POR @ LAL,04/09/2019,W,48,104,37,90,41.1,11,37,29.7,19,22,86.4,11,34,45,18,14,8,10,14,3,
GSW,GSW @ NOP,04/09/2019,W,48,112,43,89,48.3,12,30,40.0,14,21,66.7,11,47,58,25,15,8,3,17,9,
UTA,UTA vs. DEN,04/09/2019,W,48,118,41,78,52.6,10,27,37.0,26,34,76.5,9,39,48,24,15,5,5,21,10,
CHI,CHI vs. NYK,04/09/2019,L,48,86,30,83,36.1,7,22,31.8,19,29,65.5,6,44,50,14,7,7,4,18,-10,
OKC,OKC vs. HOU,04/09/2019,W,48,112,40,96,41.7,16,41,39.0,16,20,80.0,18,38,56,20,12,5,2,19,1,
DAL,DAL vs. PHX,04/09/2019,W,48,120,41,91,45.1,16,40,40.0,22,27,81.5,18,46,64,28,22,6,6,24,11,
DET,DET vs. MEM,04/09/2019,W,48,100,35,88,39.8,10,34,29.4,20,28,71.4,14,26,40,16,9,13,4,21,7,
PHX,PHX @ DAL,04/09/2019,L,48,109,38,88,43.2,13,35,37.1,20,28,71.4,5,33,38,21,14,13,6,22,-11,
NOP,NOP vs. GSW,04/09/2019,L,48,103,44,99,44.4,9,33,27.3,6,10,60.0,7,35,42,29,10,9,1,15,-9,
TOR,TOR @ MIN,04/09/2019,W,48,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,18,10,5,17,20,
MIA,MIA vs. PHI,04/09/2019,W,48,122,46,87,52.9,13,27,48.1,17,23,73.9,7,37,44,29,15,6,10,18,23,
HOU,HOU @ OKC,04/09/2019,L,48,111,38,88,43.2,18,53,34.0,17,20,85.0,9,33,42,18,11,7,7,21,-1,
BKN,BKN @ IND,04/07/2019,W,48,108,40,88,45.5,11,36,30.6,17,22,77.3,17,35,52,23,16,7,4,13,12,
NYK,NYK vs. WAS,04/07/2019,W,48,113,41,80,51.3,17,34,50.0,14,19,73.7,7,36,43,24,15,5,9,14,3,
CHA,CHA @ DET,04/07/2019,W,48,104,38,88,43.2,10,31,32.3,18,23,78.3,8,36,44,23,7,5,3,13,13,
SAS,SAS @ CLE,04/07/2019,W,48,112,43,82,52.4,9,22,40.9,17,22,77.3,11,38,49,27,18,10,5,18,22,
CLE,CLE vs. SAS,04/07/2019,L,48,90,31,79,39.2,8,29,27.6,20,27,74.1,10,25,35,16,18,14,1,16,-22,
GSW,GSW vs. LAC,04/07/2019,W,48,131,53,97,54.6,12,37,32.4,13,15,86.7,11,37,48,34,11,16,8,22,27,
NOP,NOP @ SAC,04/07/2019,W,48,133,52,101,51.5,19,42,45.2,10,12,83.3,14,41,55,28,16,4,11,16,4,
BOS,BOS vs. ORL,04/07/2019,L,48,108,42,89,47.2,12,31,38.7,12,14,85.7,6,33,39,28,14,9,4,19,-8,
LAL,LAL vs. UTA,04/07/2019,W,48,113,46,89,51.7,7,25,28.0,14,21,66.7,16,33,49,28,17,5,5,21,4,
ATL,ATL @ MIL,04/07/2019,L,48,107,40,100,40.0,17,45,37.8,10,19,52.6,9,39,48,25,11,2,3,28,-8,
DEN,DEN @ POR,04/07/2019,L,48,108,42,95,44.2,13,33,39.4,11,20,55.0,12,30,42,24,11,9,4,26,-7,
MIN,MIN vs. OKC,04/07/2019,L,48,126,46,85,54.1,10,23,43.5,24,29,82.8,6,26,32,29,13,9,5,24,-6,
SAC,SAC vs. NOP,04/07/2019,L,48,129,50,109,45.9,16,40,40.0,13,17,76.5,16,31,47,27,6,10,4,13,-4,
TOR,TOR vs. MIA,04/07/2019,W,53,117,39,87,44.8,16,41,39.0,23,27,85.2,4,43,47,26,11,7,5,17,8,
DAL,DAL @ MEM,04/07/2019,W,53,129,45,98,45.9,12,41,29.3,27,34,79.4,11,40,51,31,7,4,5,23,2,
ORL,ORL @ BOS,04/07/2019,W,48,116,41,90,45.6,12,33,36.4,22,22,100,11,34,45,29,16,9,7,14,8,
MEM,MEM vs. DAL,04/07/2019,L,53,127,42,98,42.9,19,44,43.2,24,28,85.7,10,43,53,32,9,4,4,24,-2,
